type,usage-count,error-count,error-ratio
18.4,7666,37.0,0.004826506652752413
18.0.1,1610,3.0,0.0018633540372670807
19.0,2163,3.0,0.0013869625520110957
18.2,158776,216.0,0.0013604071144253539
18.1,1541479,1706.0,0.0011067293164551708
17.7,4595576,3605.0,0.0007844500885199157
18.0,20693372,13078.0,0.0006319897984726704
17.6.1,102835839,61096.0,0.000594111941849378
16.0.1,20870,12.0,0.0005749880210828941
16.7.8,801554,443.0,0.0005526764260424126
17.6,848653,415.0,0.0004890102315080486
16.0.2,259506,102.0,0.00039305449584980696
16.0,352246,134.0,0.0003804159593011702
17.5.1,17444185,5953.0,0.0003412598524952585
16.7.10,2959623,1009.0,0.00034092179983734414
16.6.1,1592030,501.0,0.00031469256232608683
16.3.1,2041922,611.0,0.0002992278843168348
16.4.1,387195,112.0,0.00028925993362517597
17.1.1,586394,168.0,0.0002864967922591295
16.1.1,1473574,416.0,0.0002823068268034045
17.1,187496,51.0,0.0002720058027904595
16.0.3,151711,41.0,0.00027025067397881496
16.2,1303863,336.0,0.00025769578552347906
17.5,303417,76.0,0.000250480362010039
17.2.1,761539,188.0,0.00024686851231519333
17.4.1,3605369,876.0,0.0002429709691296508
17.3,444545,102.0,0.00022944808737023248
16.1,433878,99.0,0.000228174740364803
16.7,188708,42.0,0.00022256608092926638
17.3.1,1585064,323.0,0.00020377726072890432
17.4,611406,120.0,0.0001962689276847136
17.0.3,376557,73.0,0.00019386175266958256
16.1.2,372589,72.0,0.00019324241993188204
16.5,381215,73.0,0.0001914929895203494
16.7.9,21571,4.0,0.00018543414769829863
16.7.3,5859,1.0,0.00017067759003242875
16.6,1504056,252.0,0.00016754695303898258
16.7.2,338243,52.0,0.00015373562793612877
16.7.7,142947,20.0,0.00013991199535492174
16.7.5,68129,9.0,0.00013210233527572693
16.3,431630,56.0,0.00012974075017955193
17.0,85789,11.0,0.00012822156686754713
2.0,24398,3.0,0.00012296089843429788
17.2,906253,100.0,0.00011034446230798684
17.0.2,136008,14.0,0.00010293512146344332
16.5.1,790639,81.0,0.00010244877877261304
17.1.2,451557,45.0,9.96551930321089e-05
17.0.1,72762,7.0,9.620406256012755e-05
16.4,78752,7.0,8.888663145062982e-05
16.7.1,138171,8.0,5.789926974546033e-05
16.7.4,53959,1.0,1.8532589558739042e-05
15.6.1,353217,0.0,0.0
15.8.3,667204,0.0,0.0
15.8.2,245193,0.0,0.0
15.5,327280,0.0,0.0
15.8,89777,0.0,0.0
15.7.9,38083,0.0,0.0
15.6,150627,0.0,0.0
15.7.1,41060,0.0,0.0
16.7.6,27034,0.0,0.0
15.7,135439,0.0,0.0
15.7.5,14018,0.0,0.0
2.1,14957,0.0,0.0
15.7.8,34290,0.0,0.0
15.7.7,13466,0.0,0.0
15.7.6,10826,0.0,0.0
15.7.2,12389,0.0,0.0
15.7.3,13282,0.0,0.0
15.8.1,36773,0.0,0.0
15.7.4,4177,0.0,0.0
2.2,2125,0.0,0.0
1.3,811,0.0,0.0
17.6.2,395,0.0,0.0
2.4,263,0.0,0.0
15.4,252,0.0,0.0
15.0,237,0.0,0.0
15.4.1,195,0.0,0.0
14.3,176,0.0,0.0
2.0.1,155,0.0,0.0
14.7.1,151,0.0,0.0
3.0,144,0.0,0.0
14.2,118,0.0,0.0
1.2,115,0.0,0.0
15.3.1,101,0.0,0.0
15.2,95,0.0,0.0
15.3,82,0.0,0.0
14.8.1,81,0.0,0.0
15.1,80,0.0,0.0
15.2.1,72,0.0,0.0
12.5.7,69,0.0,0.0
17.5.2,40,0.0,0.0
14.0,38,0.0,0.0
14.8,35,0.0,0.0
1.0.2,26,0.0,0.0
1.1.2,19,0.0,0.0
14.4,15,0.0,0.0
14.5.1,9,0.0,0.0
15.0.2,9,0.0,0.0
17.7.1,9,0.0,0.0
14.6,7,0.0,0.0
__other__,11,0.0,0.0
